"","X10","X30","X50","X70","X90","X0.9","X1","X1.1","X1.2","X1.3","DelayRising","DelayFalling","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"1",1,1,3,1,4,1,1,3,1,4,2.18501e-10,2.03531e-10,2.18501e-10,2.18501e-10,1.32998e-10,39.1316286881982
"2",1,0,3,2,4,1,0,3,2,4,2.06155e-10,1.91296e-10,2.06155e-10,2.06155e-10,2.18501e-10,5.98869782445248
"3",2,1,1,4,2,2,1,1,4,2,2.07253e-10,1.92268e-10,2.07253e-10,2.07253e-10,2.15658e-10,4.05542983696254
"4",2,1,3,1,3,2,1,3,1,3,1.92764e-10,1.78512e-10,1.92764e-10,1.92764e-10,2.18501e-10,13.3515594198087
"5",1,2,2,3,2,1,2,2,3,2,1.98341e-10,1.83662e-10,1.98341e-10,1.98341e-10,1.97774e-10,0.285871302453855
"6",3,1,2,1,3,3,1,2,1,3,1.9147e-10,1.77049e-10,1.9147e-10,1.9147e-10,1.9147e-10,0
"7",3,1,2,1,3,3,1,2,1,3,1.98026e-10,1.83307e-10,1.98026e-10,1.98026e-10,1.9147e-10,3.31067637582944
"8",3,2,1,1,3,3,2,1,1,3,1.98026e-10,1.83307e-10,1.98026e-10,1.98026e-10,2.19098e-10,10.6410269358569
"9",3,1,2,1,3,3,1,2,1,3,1.97774e-10,1.83073e-10,1.97774e-10,1.97774e-10,1.9147e-10,3.18747661472184
"10",2,0,3,2,3,2,0,3,2,3,1.98026e-10,1.83307e-10,1.98026e-10,1.98026e-10,2.06155e-10,4.10501651298314
"11",2,1,3,2,2,2,1,3,2,2,1.99866e-10,1.8529e-10,1.99866e-10,1.99866e-10,1.92764e-10,3.55338076511262
"12",2,1,1,2,4,2,1,1,2,4,1.89819e-10,1.75322e-10,1.89819e-10,1.89819e-10,2.15574e-10,13.568188642865
"13",1,1,1,0,7,1,1,1,0,7,2.07001e-10,1.92054e-10,2.07001e-10,2.07001e-10,2.05717e-10,0.620286858517594
"14",0,1,1,1,7,0,1,1,1,7,2.18424e-10,2.03432e-10,2.18424e-10,2.18424e-10,2.00972e-10,7.98996447276856
"15",1,3,2,0,4,1,3,2,0,4,2.18828e-10,2.0403e-10,2.18828e-10,2.18828e-10,2.1913e-10,0.138007933171269
"16",3,3,3,1,0,3,3,3,1,0,2.04448e-10,1.89672e-10,2.04448e-10,2.04448e-10,1.76937e-10,13.4562333698544
"17",1,1,3,1,4,1,1,3,1,4,1.32998e-10,1.20849e-10,1.32998e-10,1.32998e-10,2.18501e-10,64.2889366757395
"18",3,1,2,0,4,3,1,2,0,4,2.06155e-10,1.91296e-10,2.06155e-10,2.06155e-10,1.9147e-10,7.12328102641215
"19",1,1,2,2,4,1,1,2,2,4,2.04399e-10,1.89593e-10,2.04399e-10,2.04399e-10,2.18501e-10,6.89925097480908
"20",1,2,4,1,2,1,2,4,1,2,2.07114e-10,1.9217e-10,2.07114e-10,2.07114e-10,1.92764e-10,6.92855142578483
"21",2,3,1,2,2,2,3,1,2,2,1.87696e-10,1.73244e-10,1.87696e-10,1.87696e-10,1.87696e-10,0
"22",2,3,1,3,1,2,3,1,3,1,1.89002e-10,1.74743e-10,1.89002e-10,1.89002e-10,1.87696e-10,0.690997978857377
"23",1,1,1,2,5,1,1,1,2,5,1.76512e-10,1.62608e-10,1.76512e-10,1.76512e-10,1.76937e-10,0.240776831036982
"24",4,1,2,1,2,4,1,2,1,2,2.12461e-10,1.97482e-10,2.12461e-10,2.12461e-10,1.9147e-10,9.87993090496608
"25",0,3,0,1,6,0,3,0,1,6,1.86817e-10,1.72357e-10,1.86817e-10,1.86817e-10,2.15052e-10,15.1137209140496
"26",2,1,1,2,4,2,1,1,2,4,2.15574e-10,2.00736e-10,2.15574e-10,2.15574e-10,1.89819e-10,11.9471735923627
"27",2,1,2,1,4,2,1,2,1,4,2.07001e-10,1.92054e-10,2.07001e-10,2.07001e-10,1.76522e-10,14.724083458534
"29",4,1,3,1,1,4,1,3,1,1,1.89315e-10,1.75011e-10,1.89315e-10,1.89315e-10,2.12461e-10,12.2261838734384
"30",0,1,3,2,4,0,1,3,2,4,1.69926e-10,1.55824e-10,1.69926e-10,1.69926e-10,2.18501e-10,28.5859727175359
"31",1,0,2,0,7,1,0,2,0,7,2.07271e-10,1.92288e-10,2.07271e-10,2.07271e-10,2.18781e-10,5.55311645140901
"32",0,2,2,0,6,0,2,2,0,6,2.18501e-10,2.03531e-10,2.18501e-10,2.18501e-10,2.15658e-10,1.30113820989378
"33",1,3,0,1,5,1,3,0,1,5,2.15052e-10,2.00193e-10,2.15052e-10,2.15052e-10,1.86817e-10,13.1293826609378
"34",0,2,1,0,7,0,2,1,0,7,2.11496e-10,1.96505e-10,2.11496e-10,2.11496e-10,2.07001e-10,2.12533570374854
"35",2,0,0,3,5,2,0,0,3,5,2.18428e-10,2.03447e-10,2.18428e-10,2.18428e-10,1.89819e-10,13.097679784643
"36",1,1,2,0,6,1,1,2,0,6,2.12984e-10,1.97891e-10,2.12984e-10,2.12984e-10,2.07001e-10,2.80913120234384
"37",3,2,1,3,1,3,2,1,3,1,2.15033e-10,2.00191e-10,2.15033e-10,2.15033e-10,1.89002e-10,12.1055837941153
"38",2,1,2,1,4,2,1,2,1,4,1.76522e-10,1.62507e-10,1.76522e-10,1.76522e-10,2.07001e-10,17.2664030545768
"39",0,1,0,2,7,0,1,0,2,7,2.05907e-10,1.91128e-10,2.05907e-10,2.05907e-10,2.18424e-10,6.0789579761737
"40",3,2,1,1,3,3,2,1,1,3,2.19098e-10,2.04332e-10,2.19098e-10,2.19098e-10,1.98026e-10,9.61761403572831
"41",1,2,2,2,3,1,2,2,2,3,1.97774e-10,1.83073e-10,1.97774e-10,1.97774e-10,1.98341e-10,0.286690869376161
"42",2,1,0,0,7,2,1,0,0,7,1.99739e-10,1.85122e-10,1.99739e-10,1.99739e-10,2.07001e-10,3.63574464676402
"43",0,1,3,1,5,0,1,3,1,5,2.18207e-10,2.03259e-10,2.18207e-10,2.18207e-10,2.18501e-10,0.134734449398977
"44",3,1,2,3,1,3,1,2,3,1,2.11803e-10,1.96863e-10,2.11803e-10,2.11803e-10,1.73633e-10,18.0214633409347
"45",3,3,2,1,1,3,3,2,1,1,1.76937e-10,1.6308e-10,1.76937e-10,1.76937e-10,2.04448e-10,15.5484720550252
"46",1,1,1,1,6,1,1,1,1,6,1.69301e-10,1.55344e-10,1.69301e-10,1.69301e-10,2.18788e-10,29.2301876539418
"47",0,2,2,0,6,0,2,2,0,6,2.15658e-10,2.00857e-10,2.15658e-10,2.15658e-10,2.18501e-10,1.31829099778353
"48",2,1,1,1,5,2,1,1,1,5,2.15052e-10,2.00193e-10,2.15052e-10,2.15052e-10,1.89819e-10,11.733441214218
"49",1,1,3,2,3,1,1,3,2,3,2.11575e-10,1.96633e-10,2.11575e-10,2.11575e-10,2.18501e-10,3.27354366064043
"50",2,2,1,1,4,2,2,1,1,4,1.99899e-10,1.85292e-10,1.99899e-10,1.99899e-10,2.20983e-10,10.5473263998319
"51",1,1,1,0,7,1,1,1,0,7,2.05717e-10,1.91051e-10,2.05717e-10,2.05717e-10,2.07001e-10,0.624158431242927
"52",3,1,0,0,6,3,1,0,0,6,2.18424e-10,2.03432e-10,2.18424e-10,2.18424e-10,1.99739e-10,8.55446287953705
"53",1,2,3,3,1,1,2,3,3,1,2.14689e-10,1.99866e-10,2.14689e-10,2.14689e-10,1.98341e-10,7.61473573401525
"54",3,4,2,1,0,3,4,2,1,0,1.77438e-10,1.63678e-10,1.77438e-10,1.77438e-10,2.04448e-10,15.2222184650413
"55",2,2,0,1,5,2,2,0,1,5,1.30929e-10,1.18855e-10,1.30929e-10,1.30929e-10,2.15052e-10,64.2508535160278
"56",1,0,2,1,6,1,0,2,1,6,2.11455e-10,1.96498e-10,2.11455e-10,2.11455e-10,1.98402e-10,6.17294459814145
"57",2,1,3,0,4,2,1,3,0,4,2.15781e-10,2.00935e-10,2.15781e-10,2.15781e-10,2.10751e-10,2.33106714678308
"58",2,2,0,3,3,2,2,0,3,3,2.04682e-10,1.89826e-10,2.04682e-10,2.04682e-10,1.98074e-10,3.2284226263179
"59",0,2,2,2,4,0,2,2,2,4,2.00681e-10,1.86e-10,2.00681e-10,2.00681e-10,2.04399e-10,1.85269158515255
"60",2,2,2,1,3,2,2,2,1,3,2.07139e-10,1.92177e-10,2.07139e-10,2.07139e-10,2.20864e-10,6.62598544938422
"61",2,3,0,2,3,2,3,0,2,3,1.98074e-10,1.83319e-10,1.98074e-10,1.98074e-10,1.87696e-10,5.23945596090351
"62",3,2,3,1,1,3,2,3,1,1,1.99219e-10,1.84596e-10,1.99219e-10,1.99219e-10,2.04448e-10,2.624749647373
"63",0,3,3,1,3,0,3,3,1,3,1.69948e-10,1.56006e-10,1.69948e-10,1.69948e-10,2.1913e-10,28.9394402993857
"64",1,0,2,1,6,1,0,2,1,6,1.98402e-10,1.83721e-10,1.98402e-10,1.98402e-10,2.11455e-10,6.57906674327879
"65",3,1,2,2,2,3,1,2,2,2,2.15781e-10,2.00935e-10,2.15781e-10,2.15781e-10,1.9147e-10,11.2665155875633
"66",0,0,1,2,7,0,0,1,2,7,1.89258e-10,1.7497e-10,1.89258e-10,1.89258e-10,1.91664e-10,1.27128047427321
"67",3,0,2,2,3,3,0,2,2,3,2.1913e-10,2.04395e-10,2.1913e-10,2.1913e-10,1.9147e-10,12.6226440925478
"68",5,1,1,3,0,5,1,1,3,0,1.99668e-10,1.85066e-10,1.99668e-10,1.99668e-10,1.98082e-10,0.794318568824248
"69",1,3,0,3,3,1,3,0,3,3,1.4908e-10,1.36437e-10,1.4908e-10,1.4908e-10,2.04682e-10,37.296753420982
"71",3,2,2,1,2,3,2,2,1,2,1.89315e-10,1.75011e-10,1.89315e-10,1.89315e-10,1.9147e-10,1.13831444946253
"72",0,1,2,2,5,0,1,2,2,5,1.86904e-10,1.72449e-10,1.86904e-10,1.86904e-10,2.04399e-10,9.36042032273252
"73",1,2,0,2,5,1,2,0,2,5,2.12576e-10,1.97594e-10,2.12576e-10,2.12576e-10,1.76512e-10,16.9652265542676
"74",0,0,0,2,8,0,0,0,2,8,2.12334e-10,1.974e-10,2.12334e-10,2.12334e-10,2.05907e-10,3.02683508058059
"75",2,2,1,1,4,2,2,1,1,4,2.20983e-10,2.06227e-10,2.20983e-10,2.20983e-10,1.99899e-10,9.54100541670626
"76",0,2,0,1,7,0,2,0,1,7,2.05717e-10,1.91051e-10,2.05717e-10,2.05717e-10,2.18424e-10,6.17693238769765
"77",1,1,1,1,6,1,1,1,1,6,2.18788e-10,2.03889e-10,2.18788e-10,2.18788e-10,1.69301e-10,22.618699380222
"78",2,1,1,3,3,2,1,1,3,3,2.15658e-10,2.00857e-10,2.15658e-10,2.15658e-10,2.07253e-10,3.89737454673603
"79",0,1,1,1,7,0,1,1,1,7,2.00972e-10,1.86233e-10,2.00972e-10,2.00972e-10,2.18424e-10,8.68379674780566
"80",1,2,4,3,0,1,2,4,3,0,2.18828e-10,2.0403e-10,2.18828e-10,2.18828e-10,2.14689e-10,1.89143985230409
"81",1,4,2,2,1,1,4,2,2,1,1.52414e-10,1.39624e-10,1.52414e-10,1.52414e-10,1.87696e-10,23.1487921057121
"82",1,0,1,0,8,1,0,1,0,8,1.73702e-10,1.59786e-10,1.73702e-10,1.73702e-10,2.07001e-10,19.1701880231661
"83",2,1,1,2,4,2,1,1,2,4,2.20527e-10,2.05728e-10,2.20527e-10,2.20527e-10,1.89819e-10,13.9248255315676
"84",2,1,2,0,5,2,1,2,0,5,2.07001e-10,1.92054e-10,2.07001e-10,2.07001e-10,2.06155e-10,0.408693677808314
"85",1,0,0,1,8,1,0,0,1,8,2.10634e-10,1.95767e-10,2.10634e-10,2.10634e-10,2.12334e-10,0.807087174910026
"86",2,2,2,1,3,2,2,2,1,3,2.20864e-10,2.06033e-10,2.20864e-10,2.20864e-10,2.07139e-10,6.21423138220806
"87",2,1,2,2,3,2,1,2,2,3,1.98074e-10,1.83319e-10,1.98074e-10,1.98074e-10,1.92764e-10,2.68081626058948
"88",3,2,2,2,1,3,2,2,2,1,1.99716e-10,1.85137e-10,1.99716e-10,1.99716e-10,2.15033e-10,7.66939053455908
"89",3,1,2,3,1,3,1,2,3,1,1.73633e-10,1.59715e-10,1.73633e-10,1.73633e-10,2.11803e-10,21.9831483646542
"90",1,1,1,2,5,1,1,1,2,5,1.76937e-10,1.6308e-10,1.76937e-10,1.76937e-10,1.76512e-10,0.240198488727628
"91",1,1,0,0,8,1,1,0,0,8,2.12461e-10,1.97482e-10,2.12461e-10,2.12461e-10,2.07001e-10,2.56988341389713
"92",1,2,1,1,5,1,2,1,1,5,2.20401e-10,2.05689e-10,2.20401e-10,2.20401e-10,1.76512e-10,19.9132490324454
"93",2,0,3,3,2,2,0,3,3,2,2.11606e-10,1.96657e-10,2.11606e-10,2.11606e-10,1.98026e-10,6.41758740300369
"94",0,0,1,2,7,0,0,1,2,7,1.91664e-10,1.77214e-10,1.91664e-10,1.91664e-10,1.89258e-10,1.25532181317305
"95",1,3,2,1,3,1,3,2,1,3,2.1913e-10,2.04395e-10,2.1913e-10,2.1913e-10,2.18828e-10,0.137817733765344
"96",4,2,1,2,1,4,2,1,2,1,1.98082e-10,1.83345e-10,1.98082e-10,1.98082e-10,2.15033e-10,8.55756706818389
"97",2,0,3,0,5,2,0,3,0,5,1.7297e-10,1.58988e-10,1.7297e-10,1.7297e-10,2.15781e-10,24.7505347748165
"98",2,1,3,0,4,2,1,3,0,4,2.10751e-10,1.95851e-10,2.10751e-10,2.10751e-10,2.15781e-10,2.38670279144584
"99",2,0,0,1,7,2,0,0,1,7,2.04682e-10,1.89826e-10,2.04682e-10,2.04682e-10,1.99739e-10,2.41496565403896
"100",1,0,2,0,7,1,0,2,0,7,2.18781e-10,2.03925e-10,2.18781e-10,2.18781e-10,2.07271e-10,5.26096873128836
